match_key,dev_college_id,type,college_name
A.N.M.M.C,col_7325785528,GOVT,Anugrah Narayan Magadh Medical College Gaya
PAWAPURI,col_1091308350,GOVT,Vardhman Institute of Medical Sciences Pawapuri Nalanda
LAHERIASARAI,col_7611701289,GOVT,Darbhanga Medical College Laheriasarai
ESIC,col_6606425907,ESIC,ESIC Medical College and Hospital Bihta Patna
PURNEA,col_6451604962,GOVT,Government Medical College Purnea
BETTIAH,col_9809023510,GOVT,Government Medical College Bettiah
I.G.I.M.S,col_4639498072,GOVT,Indira Gandhi Institute of Medical Sciences Patna
MADHEPURA,col_6956295160,GOVT,Jannayak Karpoori Thakur Medical College Madhepura
BHAGALPUR,col_4222440774,GOVT,Jawaharlal Nehru Medical College Bhagalpur
N.M.C. PATNA,col_6104315041,GOVT,Nalanda Medical College Patna
P.M.C.PATNA,col_7294626919,GOVT,Patna Medical College Patna
S.K.M.C,col_4816852686,GOVT,Sri Krishna Medical College Muzaffarpur
HIMALAYA,col_br_himalaya,PRIVATE,Himalaya Medical College and Hospital Paliganj Patna
KATIHAR,col_br_kmc,PRIVATE,Katihar Medical College
LORD BUDHA,col_br_lordbudha,PRIVATE,Lord Budha Koshi Medical College Saharsa
MADHUBANI,col_br_madhubani,PRIVATE,Madhubani Medical College
KISHANGANJ,col_br_mgmmc,PRIVATE,Mata Gujri Memorial Medical College Kishanganj
SASARAM,col_br_nmcsasaram,PRIVATE,Narayan Medical College Sasaram
NETAJI SUBHAS,col_br_netaji,PRIVATE,Netaji Subhas Medical College and Hospital Patna
RDJM,col_br_rdjm,PRIVATE,RDJM Medical College Turki Muzaffarpur
SHRI NARAYAN,col_br_shrinarayan,PRIVATE,Shri Narayan Medical Institute and Hospital Saharsa
