college_id,college_name,type,course,year,tuition_annual,hostel_annual,other_annual,nri_tuition,is_official,source_url,note
col_7781328189,AB Shetty Memorial Inst. of Dental Sce.,DEEMED,BDS,,600000,150000,80000,1500000,0,,type-based indicative estimate (dental)
col_1789539556,ACS Medical College and Hospital,DEEMED,MBBS,,2200000,200000,100000,4000000,0,,type-based indicative estimate (medical)
col_ap_c1b765a82e86,"ACSR Government Medical College, Nellore",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_6683663584,"ACSR Govt Medical College, Nellore",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_1668168597,AGARTALA GOVT. DENTAL COLLEGE,GOVT,BDS,,50000,25000,15000,0,0,,type-based indicative estimate (dental)
col_0570643390,AGARTALA GOVT. MEDICAL COLLEGE,GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_9091100798,AIIMS,AIIMS,MBBS,,5856,12000,6000,0,0,,type-based indicative estimate (medical)
col_8976822834,AIIMS,AIIMS,MBBS,,5856,12000,6000,0,0,,type-based indicative estimate (medical)
col_1111291303,AIIMS Bathinda,AIIMS,MBBS,,5856,12000,6000,0,0,,type-based indicative estimate (medical)
col_8073275994,AIIMS Bilaspur Changar Palasiyan,AIIMS,MBBS,,5856,12000,6000,0,0,,type-based indicative estimate (medical)
col_4499329080,AIIMS Guahawti,AIIMS,MBBS,,5856,12000,6000,0,0,,type-based indicative estimate (medical)
col_6481842241,AIIMS Guwahati,AIIMS,MBBS,,5856,12000,6000,0,0,,type-based indicative estimate (medical)
col_9311642017,AIIMS Jammu,AIIMS,MBBS,,5856,12000,6000,0,0,,type-based indicative estimate (medical)
col_8091291619,"AIIMS Jammu, AIIMS Vijaypur Samba Jammu",AIIMS,MBBS,,5856,12000,6000,0,0,,type-based indicative estimate (medical)
col_8187040288,"AIIMS Jammu, AIIMS, Vijaypur, Jammu",AIIMS,MBBS,,5856,12000,6000,0,0,,type-based indicative estimate (medical)
col_1225425978,AIIMS Mangalagiri,AIIMS,MBBS,,5856,12000,6000,0,0,,type-based indicative estimate (medical)
col_1044965040,AIIMS Rajkot,AIIMS,MBBS,,5856,12000,6000,0,0,,type-based indicative estimate (medical)
col_4926001779,"AIIMS Rajkot, Admission cell, Academic section, First floor, Academic block, Permanent Campus, AIIMS Rajkot, Khand",AIIMS,MBBS,,5856,12000,6000,0,0,,type-based indicative estimate (medical)
col_2390892251,"AIIMS Rajkot, MBBS admission cell Room No.3, Ground floor, AYUSH, Permanent Campus, AIIMS Rajkot, Khanderi",AIIMS,MBBS,,5856,12000,6000,0,0,,type-based indicative estimate (medical)
