kea_code,dev_college_id,college_name
M001,col_1411720933,Bangalore Medical College and Research Institute
M021,col_9123439991,Mysore Medical College & Research Institute
M022,col_0067416975,JSS Medical College Mysuru
M024,col_7286986942,Mandya Institute of Medical Sciences
M025,col_8009647553,Hassan Institute of Medical Sciences
M031,col_7458588347,Karnataka Institute of Medical Sciences Hubli
M032,col_7343024605,Jawaharlal Nehru Medical College Belagavi
M037,col_6332933977,Belgaum Institute of Medical Sciences
M041,col_1580674692,Vijayanagar Institute of Medical Sciences Ballari
M044,col_0712237746,Bidar Institute of Medical Sciences
M045,col_2256501208,Raichur Institute of Medical Sciences
M051,col_3591647713,Kasturba Medical College Mangalore
M052,col_4072343872,Yenepoya Medical College Mangalore
M053,col_4452960204,K S Hegde Medical Academy Mangaluru
M063,col_2567076548,Shimoga Institute of Medical Sciences
M066,col_3852009927,ESIC Medical College Bangalore (Rajajinagar)
M070,col_8616154395,ESIC Medical College Gulbarga
M072,col_6779162507,Gulbarga Institute of Medical Sciences
M073,col_3673746129,Koppal Institute of Medical Sciences
M074,col_1601226733,Gadag Institute of Medical Sciences
M075,col_1897172171,Chamarajanagar Institute of Medical Sciences (C. Institute)
M076,col_4142729598,Karwar Institute of Medical Sciences
M077,col_0949686711,Kodagu Institute of Medical Sciences
M082,col_9083927540,Shri Atal Bihari Vajpayee Medical College Bangalore
M084,col_1047156239,Chikkaballapura Institute of Medical Sciences
M085,col_0620225768,Chikkamagaluru Institute of Medical Sciences
M086,col_9329961448,Haveri Institute of Medical Sciences
M087,col_1046092524,Yadgiri Institute of Medical Sciences
M089,col_3974588998,JGMM Medical College Hubballi
M092,col_9749385949,Chitradurga Medical College and Research Institute
