mh_code,dev_college_id,college_name
01102,col_2740684644,Lokmanya Tilak Municipal MC Mumbai (Tilak)
01103,col_0720456643,Seth GS Medical College Mumbai (GSMC/KEM)
01104,col_2206384051,Topiwala National Medical College Mumbai (Nair)
01109,col_6838297103,Rajiv Gandhi Medical College Kalva Thane
01110,col_8026108479,BJ Government Medical College Pune
01114,col_1741521531,Dr Vaishampayan Memorial MC Solapur (VMMC)
01115,col_2064943481,Government Medical College Miraj
01119,col_6256799823,Shri Bhausaheb Hire Govt MC Dhule
01132,col_8411231126,Rajarshee Chh Shahu Maharaj GMC Kolhapur
01140,col_4010462120,HBT Medical College and Cooper Hospital Mumbai
01149,col_5700313569,Government Medical College Jalgaon
01150,col_8359860840,Government Medical College Baramati
01151,col_6523816035,Government Medical College Nandurbar
01154,col_5885395340,Government Medical College Sindhudurg
01155,col_7481240637,Government Medical College Satara
01163,col_8868688438,Grant Medical College and Sir JJ Hospital Mumbai
01164,col_r3_4d409a3c31ee,Government Medical College Nashik
01166,col_r3_9cc588ba0c80,Government Medical College Ambernath
01221,col_7281381075,Government Medical College Nagpur
01222,col_1658565639,Indira Gandhi Govt Medical College Nagpur
01226,col_1348100443,Vasantrao Naik Govt MC Yavatmal (VNMC)
01234,col_7968579166,Government Medical College Akola
01242,col_2782905264,Government Medical College Gondia
01248,col_3570398144,MGIMS Sevagram Wardha
01267,col_1074462969,Government Medical College Amravati
01268,col_r3_dda43f380cd8,Government Medical College Bhandara
01269,col_9847916821,Government Medical College Buldhana
01270,col_r3_bba3ea9c2630,Government Medical College Washim
01327,col_5809857392,Government Medical College Aurangabad (Ch Sambhajinagar)
01328,col_2124253940,Dr SC Govt Medical College Nanded
01329,col_8437371233,Swami Ramanand Tirth Rural MC Ambajogai (SRTR)
01333,col_1816836098,Govt Medical College Latur (VD)
01358,col_3873646149,Government Medical College Osmanabad (Dharashiv)
01360,col_8595613553,Government Medical College Parbhani
01371,col_r3_63cdf4690f7a,Government Medical College Hingoli
01372,col_r3_10ed879ff781,Government Medical College Jalna
01373,col_r3_eee0e60d0b8b,Government Medical College Gadchiroli
