mp_code,dev_college_id,college_name
101,col_4830720777,Gandhi Medical College Bhopal
102,col_5796223253,Gajra Raja Medical College Gwalior
103,col_9024905622,Mahatma Gandhi Memorial (MGM) Medical College Indore
104,col_0337267460,Netaji Subhash Chandra Bose Medical College Jabalpur
105,col_3261989875,Shyam Shah (S.S.) Medical College Rewa
106,col_6076059203,Bundelkhand Medical College Sagar
107,col_6094367423,Government College of Dentistry Indore
132,col_3363997314,Government Medical College Datia
133,col_9755304672,Atal Bihari Vajpayee Government Medical College Vidisha
134,col_9412487075,Government Medical College Ratlam
135,col_7198865579,Nandkumar Singh Chouhan Government Medical College Khandwa
136,col_4755680109,Birsa Munda Government Medical College Shahdol
137,col_2133117517,Chhindwara Institute of Medical Sciences
138,col_0665023937,Shrimant Rajmata Vijayaraje Scindia GMC Shivpuri
141,col_8880783075,Government Medical College Satna
143,col_7851510935,Sundarlal Patwa Government Medical College Mandsaur
144,col_7410914873,Government Medical College Seoni
145,col_6537591986,Virendra Kumar Sakhlecha Government Medical College Neemuch
108,col_mp_108,PEOPLES COLLEGE OF MEDICAL SCIENCE BHOPA
109,col_mp_109,SRI AUROBINDO INSTITUTE OF MEDICAL SCIEN
110,col_mp_110,RD GARDI MEDICAL COLLEGE UJJAIN
111,col_mp_111,INDEX MEDICAL COLLEGE HOSPITAL AND RESEA
112,col_mp_112,LN MEDICAL COLLEGE BHOPAL
114,col_mp_114,AMALTAS INSTITUTE OF MEDICAL SCIENCES DE
115,col_mp_115,SUKH SAGAR MEDICAL COLLEGE AND HOSPITAL 
116,col_mp_116,CHIRAYU MEDICAL COLLEGE AND HOSPITAL BHO
131,col_mp_131,RKDF MEDICAL COLLEGE HOSPITAL AND RESEAR
139,col_mp_139,MAHAVEER INSTITUTE OF MEDICAL SCIENCES A
140,col_mp_140,LNCT MEDICAL COLLEGE AND SEWAKUNJ HOSPIT
142,col_mp_142,RAM KRISHNA MEDICAL COLLEGE HOSPITAL AND
