state_code,name_substring,dev_college_id
WB,All India Institute,col_2754927034
WB,Bankura Sammilani,col_7185155369
WB,Barasat,col_4955077057
WB,Burdwan Medical College,col_0942795538
WB,Calcutta National,col_8740864194
WB,JNM Hospital,col_4154504097
WB,Sagore Dutta,col_3436763170
WB,Coochbehar,col_3803890474
WB,Diamond Harbour,col_5416104235
WB,East West,col_wb_eastwest
WB,Employees State Insurance,col_7686433596
WB,Gouri Devi,col_wb_gouridevi
WB,Govt. Medical College,col_6936662730
WB,ICARE,col_wb_icare
WB,IQ-City,col_wb_iqcity
WB,Postgraduate Medical Education,col_8111777624
WB,JIS School,col_wb_jis
WB,JMN Medical,col_wb_jmn
WB,Jagannath Gupta,col_wb_jagannath
WB,Jakir Hossain,col_wb_jakir
WB,Jhargram,col_8740587435
WB,KPC Medical,col_wb_kpc
WB,Krishnanagar,col_wb_krishnanagar
WB,Malda Medical,col_3807053711
WB,Midnapore,col_4046669946
WB,Murshidabad,col_4742222470
WB,Nilratan Sircar,col_9358700175
WB,North Bengal Medical,col_4632002787
WB,Prafulla Chandra Sen,col_5890019544
WB,Purulia Government,col_7544650085
WB,RG Kar,col_7138427399
WB,Raiganj,col_7523139205
WB,Rampurhat,col_3590248230
WB,Santiniketan,col_wb_santiniketan
WB,Sarat Chandra,col_8663714859
WB,Shri Ramkrishna,col_wb_srims
WB,Tamralipto,col_3333521779
PB,Adesh,col_pb_adesh
PB,Christian,col_pb_cmc
PB,Dayanand,col_pb_dmc
PB,Ambedkar,col_7617915458
PB,Guru Gobind Singh,col_8643630502
PB,Gian Sagar,col_pb_giansagar
PB,Punjab Institute,col_pb_pims
PB,Sri Guru Ram Das,col_pb_sgrd
PB,RIMT,col_pb_rimt
PB,Chintpurni,col_pb_chintpurni
PB,All India Institute,col_1111291303
PB,Patiala,col_9252370077
PB,Amritsar,col_7055267354
