tg_code,dev_college_id,college_name
GAND,col_6402532463,Gandhi Medical College Secunderabad
OMCH,col_6199726032,Osmania Medical College Hyderabad
KKTI,col_7101028922,Kakatiya Medical College Warangal
ESIM,col_7816055414,ESI Medical College Sanathnagar Hyderabad
RADL,col_0752052776,Rajiv Gandhi Institute of Medical Sciences Adilabad
GASF,col_7237119062,Govt Medical College Kumuram Bheem Asifabad
GGWL,col_8804717406,Govt Medical College Jogulamba Gadwal
GJBP,col_4993633027,Govt Medical College Jayashankar Bhupalpally
GJGN,col_9969281956,Govt Medical College Jangaon
GJTL,col_4667991794,Govt Medical College Jagtial
GKHM,col_3408570730,Govt Medical College Khammam
GKMR,col_6189336866,Govt Medical College Kamareddy
GKRM,col_0832175721,Govt Medical College Karimnagar
GMBK,col_r3_c8be2995a9e3,Govt Medical College Bhadradri Kothagudem
GMCL,col_0804019388,Govt Medical College Mancherial
GMCM,col_7806053405,Govt Medical College Mahabubnagar
GMDK,col_r3_8394af770a36,Govt Medical College Medak
GMHB,col_3383518650,Govt Medical College Mahabubabad
GMHR,col_7745663067,Govt Medical College Maheshwaram
GMNL,col_8463793272,Govt Medical College Nalgonda
GMSR,col_7371258969,Govt Medical College Suryapet
GMUL,col_r3_a4be72cc9cf3,Govt Medical College Mulugu
GNRM,col_9788645904,Govt Medical College Nirmal
GNRN,col_3958307328,Govt Medical College Narayanpet
GNRS,col_0839783467,Govt Medical College Narsampet
GQTB,col_5534484684,Govt Medical College Quthbullapur
GSGR,col_3359893434,Govt Medical College Sangareddy
GSRC,col_8097290432,Govt Medical College Rajanna Sircilla
GVKB,col_9387520552,Govt Medical College Vikarabad
GVNZ,col_2802874307,Govt Medical College Nizamabad (Khaleelwadi)
GWNP,col_4703280138,Govt Medical College Wanaparthy
GYDT,col_9809132627,Govt Medical College Yadadri Bhuvanagiri
SGMC,col_3610840380,Govt Medical College Siddipet
